name,code,owner,type,country,district_name,status,start_date,expiry_date,assets,geometry
SSMP/9/281,SSMP/9/281,YANIA RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/7/2020,9/6/2025,Gold,"POLYGON ((-0.9016666667 10.745,-0.9 10.745,-0.9 10.7425,-0.9008333333 10.7425,-0.9008333333 10.7416666667,-0.9033333333 10.7416666667,-0.9033333333 10.7433333333,-0.9025 10.7433333333,-0.9025 10.7441666667,-0.9016666667 10.7441666667,-0.9016666667 10.745,-0.9016666667 10.745))"
SSMP/9/289,SSMP/9/289,ZENA RESOURCES,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,8/27/2020,8/26/2025,Gold,"POLYGON ((-0.9041666667 10.74,-0.9 10.74,-0.9 10.7366666667,-0.9008333333 10.7366666667,-0.9008333333 10.7375,-0.9016666667 10.7375,-0.9016666667 10.7383333333,-0.9033333333 10.7383333333,-0.9033333333 10.7391666667,-0.9041666667 10.7391666667,-0.9041666667 10.74,-0.9041666667 10.74))"
SSMP/9/285,SSMP/9/285,Tikore Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/3/2020,9/2/2025,Gold,"POLYGON ((-0.9 10.7333333333,-0.8991666667 10.7333333333,-0.8991666667 10.7325,-0.8983333333 10.7325,-0.8983333333 10.7308333333,-0.8966666667 10.7308333333,-0.8966666667 10.73,-0.9008333333 10.73,-0.9008333333 10.7325,-0.9 10.7325,-0.9 10.7333333333,-0.9 10.7333333333))"
SSMP/9/286,SSMP/9/286,Abamon Resources,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/7/2020,9/6/2025,Gold,"POLYGON ((-0.905 10.7458333333,-0.9 10.7458333333,-0.9 10.745,-0.9033333333 10.745,-0.9033333333 10.7441666667,-0.9041666667 10.7441666667,-0.9041666667 10.7433333333,-0.9058333333 10.7433333333,-0.9058333333 10.7441666667,-0.905 10.7441666667,-0.905 10.7458333333,-0.905 10.7458333333))"
SSMP-9/463,SSMP-9/463,Ntema Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/7/2020,9/6/2025,Gold,"POLYGON ((-0.9033333333 10.7366666667,-0.9025 10.7366666667,-0.9025 10.7358333333,-0.9016666667 10.7358333333,-0.9016666667 10.735,-0.9008333333 10.735,-0.9008333333 10.7333333333,-0.9016666667 10.7333333333,-0.9016666667 10.7325,-0.9033333333 10.7325,-0.9033333333 10.7366666667,-0.9033333333 10.7366666667))"
SSMP/9/278,SSMP/9/278,Popelawu Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,8/27/2020,8/26/2025,Gold,"POLYGON ((-0.9058333333 10.7383333333,-0.9041666667 10.7383333333,-0.9041666667 10.7375,-0.9025 10.7375,-0.9025 10.7366666667,-0.9033333333 10.7366666667,-0.9033333333 10.735,-0.9058333333 10.735,-0.9058333333 10.7383333333,-0.9058333333 10.7383333333))"
SSMP/9/280,SSMP/9/280,Aham Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/7/2020,9/6/2025,Gold,"POLYGON ((-0.905 10.7425,-0.9033333333 10.7425,-0.9033333333 10.7416666667,-0.9008333333 10.7416666667,-0.9008333333 10.74,-0.905 10.74,-0.905 10.7425,-0.905 10.7425))"
SSMP/9/279,SSMP/9/279,OJALO MINING,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/7/2020,9/6/2025,Gold,"POLYGON ((-0.9 10.7375,-0.8975 10.7375,-0.8975 10.7341666667,-0.9 10.7341666667,-0.9 10.7375,-0.9 10.7375))"
SSMP/9/283,SSMP/9/283,Emmani Mining,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,9/3/2020,9/2/2025,Gold,"POLYGON ((-0.9083333333 10.7458333333,-0.9066666667 10.7458333333,-0.9066666667 10.7425,-0.9083333333 10.7425,-0.9083333333 10.7458333333,-0.9083333333 10.7458333333))"
MC./SSMP/9/288,MC./SSMP/9/288,Zer Mines,Small Scale Mining Licence (Non-Industrial Minerals),GH,Bolgatanga Municipal,Active License,4/9/2024,4/8/2029,Gold,"POLYGON ((-0.8933333333 10.7325,-0.8916666667 10.7325,-0.8916666667 10.7266666667,-0.8925 10.7266666667,-0.8925 10.7283333333,-0.8933333333 10.7283333333,-0.8933333333 10.7325,-0.8933333333 10.7325))"
