name,code,owner,type,country,status,start_date,expiry_date,assets,geometry
QL.5/155,QL.5/155,Nendor Engineering & Facilities Management Limited,Restricted Mining Lease < 25 Acres (National),GH,Active License,2023-03-16,2028-03-15,Granite,"POLYGON ((-0.4091666667 5.8116666667, -0.4091666667 5.8125, -0.4116666667 5.8125, -0.4116666667 5.8133333333, -0.4108333333 5.8133333333, -0.4108333333 5.8141666667, -0.4091666667 5.8141666667, -0.4091666667 5.815, -0.4075 5.815, -0.4075 5.8141666667, -0.4058333333 5.8141666667, -0.4058333333 5.8125, -0.4066666667 5.8125, -0.4066666667 5.8116666667, -0.4091666667 5.8116666667))"
RML-N25-10/99,RML-N25-10/99,Heara 360 Limited Company,Restricted Mining Lease (Ghanaian),GH,Active License,2023-11-17,2028-11-16,Granite,"POLYGON ((-2.4583333333 10.0325, -2.4583333333 10.035, -2.455 10.035, -2.455 10.0325, -2.4583333333 10.0325))"
SSML-O6 10/2024,SSML-O6 10/2024,Smart Micky Enterprise,Small Scale Licence (Obuasi District),GH,Active License,2024-07-16,2029-07-15,Gold,"POLYGON ((-1.6792 6.2683, -1.6775 6.2683, -1.6775 6.2642, -1.6783 6.2642, -1.6783 6.2667, -1.6792 6.2667, -1.6792 6.2683))"
SSML-O6 9/2024,SSML-O6 9/2024,Smart Micky Enterprise,Small Scale Licence (Obuasi District),GH,Active License,2024-07-16,2029-07-15,Gold,"POLYGON ((-1.6825 6.2667, -1.6808 6.2667, -1.6808 6.2608, -1.6817 6.2608, -1.6817 6.265, -1.6825 6.265, -1.6825 6.2667))"
SSML-O6 11/2024,SSML-O6 11/2024,Smart Micky Enterprise,Small Scale Licence (Obuasi District),GH,Active License,2024-07-16,2029-07-15,Gold,"POLYGON ((-1.6808333333 6.2666666667, -1.6783333333 6.2666666667, -1.6783333333 6.2641666667, -1.6791666667 6.2641666667, -1.6791666667 6.2633333333, -1.6808333333 6.2633333333, -1.6808333333 6.2666666667))"
PL2/647,PL2/647,Egoli Gold Mining Company Limited,Prospecting Licence (Ghanaian),GH,Active License,2023-03-30,2026-03-29,"Gold,.","POLYGON ((-2.1458333333 5.3916666667, -2.1375 5.3916666667, -2.1375 5.3958333333, -2.1333333333 5.3958333333, -2.1333333333 5.4, -2.125 5.4, -2.125 5.3958333333, -2.1166666667 5.3958333333, -2.1166666667 5.3833333333, -2.1208333333 5.3833333333, -2.1208333333 5.3791666667, -2.1125 5.3791666667, -2.1125 5.375, -2.1083333333 5.375, -2.1083333333 5.3583333333, -2.1125 5.3583333333, -2.1125 5.3541666667, -2.1166666667 5.3541666667, -2.1166666667 5.35, -2.1208333333 5.35, -2.1208333333 5.3458333333, -2.125 5.3458333333, -2.125 5.3416666667, -2.1291666667 5.3416666667, -2.1291666667 5.35, -2.1375 5.35, -2.1375 5.3541666667, -2.1333333333 5.3541666667, -2.1333333333 5.3625, -2.1291666667 5.3625, -2.1291666667 5.3666666667, -2.125 5.3666666667, -2.125 5.375, -2.1291666667 5.375, -2.1291666667 5.3791666667, -2.1333333333 5.3791666667, -2.1333333333 5.3833333333, -2.1416666667 5.3833333333, -2.1416666667 5.3875, -2.1458333333 5.3875, -2.1458333333 5.3916666667))"
PL-LAYER/812,PL-LAYER/812,Ghana Manganese Company Limited,Prospecting Licence (Ghanaian),GH,Active License,2024-01-19,2027-01-18,Manganese,"POLYGON ((-2.5125 8.8583333333, -2.4291666667 8.8583333333, -2.4291666667 8.8375, -2.4541666667 8.8375, -2.4541666667 8.75, -2.5125 8.75, -2.5125 8.8583333333))"
PL (G)-3/823,PL (G)-3/823,Multi Lead Limited,Prospecting Licence (Ghanaian),GH,Active License,2024-08-16,2027-08-15,Lithium,"POLYGON ((-1.1458333333 5.3541666667, -1.0333333333 5.3541666667, -1.0333333333 5.2958333333, -1.0666666667 5.2958333333, -1.0666666667 5.2666666667, -1.1458333333 5.2666666667, -1.1458333333 5.3083333333, -1.0708333333 5.3083333333, -1.0708333333 5.3416666667, -1.1458333333 5.3416666667, -1.1458333333 5.3541666667))"
SSML-T2 5/2023,SSML-T2 5/2023,RMG Company Limited,Small Scale Licence (Tarkwa District),GH,Active License,2023-06-12,2028-06-11,Gold,"POLYGON ((-1.9675 5.3458333333, -1.9666666667 5.3458333333, -1.9666666667 5.3475, -1.9658333333 5.3475, -1.9658333333 5.3483333333, -1.965 5.3483333333, -1.965 5.3441666667, -1.9675 5.3441666667, -1.9675 5.3458333333))"
SSML-T2 7/2023,SSML-T2 7/2023,RMG Company Limited,Small Scale Licence (Tarkwa District),GH,Active License,2023-06-21,2028-06-20,Gold,"POLYGON ((-1.9625 5.3558333333, -1.9608333333 5.3558333333, -1.9608333333 5.3541666667, -1.9616666667 5.3541666667, -1.9616666667 5.3525, -1.9608333333 5.3525, -1.9608333333 5.3516666667, -1.9616666667 5.3516666667, -1.9616666667 5.3508333333, -1.9625 5.3508333333, -1.9625 5.3516666667, -1.9633333333 5.3516666667, -1.9633333333 5.3541666667, -1.9625 5.3541666667, -1.9625 5.3558333333))"
